time, h, v, der(h), der(v), ground, e, g, _D_whenCondition1, _D_whenCondition2
0, 1, 0, 0, -9.81, 0, 0.95, 9.81, 0, 0
0.01, 1, -0.0981, -0.0981, -9.81, 0, 0.95, 9.81, 0, 0
0.02, 0.999019, -0.1962, -0.1962, -9.81, 0, 0.95, 9.81, 0, 0
0.03, 0.997057, -0.2943, -0.2943, -9.81, 0, 0.95, 9.81, 0, 0
0.04, 0.994114, -0.3924, -0.3924, -9.81, 0, 0.95, 9.81, 0, 0
0.05, 0.99019, -0.4905, -0.4905, -9.81, 0, 0.95, 9.81, 0, 0
0.06, 0.985285, -0.5886, -0.5886, -9.81, 0, 0.95, 9.81, 0, 0
0.07, 0.979399, -0.6867, -0.6867, -9.81, 0, 0.95, 9.81, 0, 0
0.08, 0.972532, -0.7848, -0.7848, -9.81, 0, 0.95, 9.81, 0, 0
0.09, 0.964684, -0.8829, -0.8829, -9.81, 0, 0.95, 9.81, 0, 0
0.1, 0.955855, -0.981, -0.981, -9.81, 0, 0.95, 9.81, 0, 0
0.11, 0.946045, -1.0791, -1.0791, -9.81, 0, 0.95, 9.81, 0, 0
0.12, 0.935254, -1.1772, -1.1772, -9.81, 0, 0.95, 9.81, 0, 0
0.13, 0.923482, -1.2753, -1.2753, -9.81, 0, 0.95, 9.81, 0, 0
0.14, 0.910729, -1.3734, -1.3734, -9.81, 0, 0.95, 9.81, 0, 0
0.15, 0.896995, -1.4715, -1.4715, -9.81, 0, 0.95, 9.81, 0, 0
0.16, 0.88228, -1.5696, -1.5696, -9.81, 0, 0.95, 9.81, 0, 0
0.17, 0.866584, -1.6677, -1.6677, -9.81, 0, 0.95, 9.81, 0, 0
0.18, 0.849907, -1.7658, -1.7658, -9.81, 0, 0.95, 9.81, 0, 0
0.19, 0.832249, -1.8639, -1.8639, -9.81, 0, 0.95, 9.81, 0, 0
0.2, 0.81361, -1.962, -1.962, -9.81, 0, 0.95, 9.81, 0, 0
0.21, 0.79399, -2.0601, -2.0601, -9.81, 0, 0.95, 9.81, 0, 0
0.22, 0.773389, -2.1582, -2.1582, -9.81, 0, 0.95, 9.81, 0, 0
0.23, 0.751807, -2.2563, -2.2563, -9.81, 0, 0.95, 9.81, 0, 0
0.24, 0.729244, -2.3544, -2.3544, -9.81, 0, 0.95, 9.81, 0, 0
0.25, 0.7057, -2.4525, -2.4525, -9.81, 0, 0.95, 9.81, 0, 0
0.26, 0.681175, -2.5506, -2.5506, -9.81, 0, 0.95, 9.81, 0, 0
0.27, 0.655669, -2.6487, -2.6487, -9.81, 0, 0.95, 9.81, 0, 0
0.28, 0.629182, -2.7468, -2.7468, -9.81, 0, 0.95, 9.81, 0, 0
0.29, 0.601714, -2.8449, -2.8449, -9.81, 0, 0.95, 9.81, 0, 0
0.3, 0.573265, -2.943, -2.943, -9.81, 0, 0.95, 9.81, 0, 0
0.31, 0.543835, -3.0411, -3.0411, -9.81, 0, 0.95, 9.81, 0, 0
0.32, 0.513424, -3.1392, -3.1392, -9.81, 0, 0.95, 9.81, 0, 0
0.33, 0.482032, -3.2373, -3.2373, -9.81, 0, 0.95, 9.81, 0, 0
0.34, 0.449659, -3.3354, -3.3354, -9.81, 0, 0.95, 9.81, 0, 0
0.35, 0.416305, -3.4335, -3.4335, -9.81, 0, 0.95, 9.81, 0, 0
0.36, 0.38197, -3.5316, -3.5316, -9.81, 0, 0.95, 9.81, 0, 0
0.37, 0.346654, -3.6297, -3.6297, -9.81, 0, 0.95, 9.81, 0, 0
0.38, 0.310357, -3.7278, -3.7278, -9.81, 0, 0.95, 9.81, 0, 0
0.39, 0.273079, -3.8259, -3.8259, -9.81, 0, 0.95, 9.81, 0, 0
0.4, 0.23482, -3.924, -3.924, -9.81, 0, 0.95, 9.81, 0, 0
0.41, 0.19558, -4.0221, -4.0221, -9.81, 0, 0.95, 9.81, 0, 0
0.42, 0.155359, -4.1202, -4.1202, -9.81, 0, 0.95, 9.81, 0, 0
0.43, 0.114157, -4.2183, -4.2183, -9.81, 0, 0.95, 9.81, 0, 0
0.44, 0.071974, -4.3164, -4.3164, -9.81, 0, 0.95, 9.81, 0, 0
0.45, 0.02881, -4.4145, -4.4145, -9.81, 0, 0.95, 9.81, 0, 0
0.46, -0.015335, 4.28697, 4.28697, -9.81, 0, 0.95, 9.81, 0, 1
0.47, 0.0275347, 4.18887, 4.18887, -9.81, 0, 0.95, 9.81, 0, 0
0.48, 0.0694234, 4.09077, 4.09077, -9.81, 0, 0.95, 9.81, 0, 0
0.49, 0.110331, 3.99267, 3.99267, -9.81, 0, 0.95, 9.81, 0, 0
0.5, 0.150258, 3.89457, 3.89457, -9.81, 0, 0.95, 9.81, 0, 0
0.51, 0.189203, 3.79647, 3.79647, -9.81, 0, 0.95, 9.81, 0, 0
0.52, 0.227168, 3.69837, 3.69837, -9.81, 0, 0.95, 9.81, 0, 0
0.53, 0.264152, 3.60027, 3.60027, -9.81, 0, 0.95, 9.81, 0, 0
0.54, 0.300155, 3.50217, 3.50217, -9.81, 0, 0.95, 9.81, 0, 0
0.55, 0.335176, 3.40407, 3.40407, -9.81, 0, 0.95, 9.81, 0, 0
0.56, 0.369217, 3.30597, 3.30597, -9.81, 0, 0.95, 9.81, 0, 0
0.57, 0.402277, 3.20787, 3.20787, -9.81, 0, 0.95, 9.81, 0, 0
0.58, 0.434355, 3.10977, 3.10977, -9.81, 0, 0.95, 9.81, 0, 0
0.59, 0.465453, 3.01167, 3.01167, -9.81, 0, 0.95, 9.81, 0, 0
0.6, 0.49557, 2.91357, 2.91357, -9.81, 0, 0.95, 9.81, 0, 0
0.61, 0.524705, 2.81547, 2.81547, -9.81, 0, 0.95, 9.81, 0, 0
0.62, 0.55286, 2.71737, 2.71737, -9.81, 0, 0.95, 9.81, 0, 0
0.63, 0.580034, 2.61927, 2.61927, -9.81, 0, 0.95, 9.81, 0, 0
0.64, 0.606227, 2.52117, 2.52117, -9.81, 0, 0.95, 9.81, 0, 0
0.65, 0.631438, 2.42307, 2.42307, -9.81, 0, 0.95, 9.81, 0, 0
0.66, 0.655669, 2.32497, 2.32497, -9.81, 0, 0.95, 9.81, 0, 0
0.67, 0.678919, 2.22687, 2.22687, -9.81, 0, 0.95, 9.81, 0, 0
0.68, 0.701187, 2.12877, 2.12877, -9.81, 0, 0.95, 9.81, 0, 0
0.69, 0.722475, 2.03067, 2.03067, -9.81, 0, 0.95, 9.81, 0, 0
0.7, 0.742782, 1.93257, 1.93257, -9.81, 0, 0.95, 9.81, 0, 0
0.71, 0.762107, 1.83447, 1.83447, -9.81, 0, 0.95, 9.81, 0, 0
0.72, 0.780452, 1.73637, 1.73637, -9.81, 0, 0.95, 9.81, 0, 0
0.73, 0.797816, 1.63827, 1.63827, -9.81, 0, 0.95, 9.81, 0, 0
0.74, 0.814199, 1.54017, 1.54017, -9.81, 0, 0.95, 9.81, 0, 0
0.75, 0.8296, 1.44207, 1.44207, -9.81, 0, 0.95, 9.81, 0, 0
0.76, 0.844021, 1.34397, 1.34397, -9.81, 0, 0.95, 9.81, 0, 0
0.77, 0.857461, 1.24587, 1.24587, -9.81, 0, 0.95, 9.81, 0, 0
0.78, 0.869919, 1.14777, 1.14777, -9.81, 0, 0.95, 9.81, 0, 0
0.79, 0.881397, 1.04967, 1.04967, -9.81, 0, 0.95, 9.81, 0, 0
0.8, 0.891894, 0.95157, 0.95157, -9.81, 0, 0.95, 9.81, 0, 0
0.81, 0.901409, 0.85347, 0.85347, -9.81, 0, 0.95, 9.81, 0, 0
0.82, 0.909944, 0.75537, 0.75537, -9.81, 0, 0.95, 9.81, 0, 0
0.83, 0.917498, 0.65727, 0.65727, -9.81, 0, 0.95, 9.81, 0, 0
0.84, 0.924071, 0.55917, 0.55917, -9.81, 0, 0.95, 9.81, 0, 0
0.85, 0.929662, 0.46107, 0.46107, -9.81, 0, 0.95, 9.81, 0, 0
0.86, 0.934273, 0.36297, 0.36297, -9.81, 0, 0.95, 9.81, 0, 0
0.87, 0.937903, 0.26487, 0.26487, -9.81, 0, 0.95, 9.81, 0, 0
0.88, 0.940551, 0.16677, 0.16677, -9.81, 0, 0.95, 9.81, 0, 0
0.89, 0.942219, 0.06867, 0.06867, -9.81, 0, 0.95, 9.81, 0, 0
0.9, 0.942906, -0.02943, -0.02943, -9.81, 0, 0.95, 9.81, 0, 0
0.91, 0.942611, -0.12753, -0.12753, -9.81, 0, 0.95, 9.81, 0, 0
0.92, 0.941336, -0.22563, -0.22563, -9.81, 0, 0.95, 9.81, 0, 0
0.93, 0.93908, -0.32373, -0.32373, -9.81, 0, 0.95, 9.81, 0, 0
0.94, 0.935843, -0.42183, -0.42183, -9.81, 0, 0.95, 9.81, 0, 0
0.95, 0.931624, -0.51993, -0.51993, -9.81, 0, 0.95, 9.81, 0, 0
0.96, 0.926425, -0.61803, -0.61803, -9.81, 0, 0.95, 9.81, 0, 0
0.97, 0.920245, -0.71613, -0.71613, -9.81, 0, 0.95, 9.81, 0, 0
0.98, 0.913083, -0.81423, -0.81423, -9.81, 0, 0.95, 9.81, 0, 0
0.99, 0.904941, -0.91233, -0.91233, -9.81, 0, 0.95, 9.81, 0, 0
1, 0.895818, -1.01043, -1.01043, -9.81, 0.1, 0.95, 9.81, 0, 0
1.01, 0.885713, -1.10853, -1.10853, -9.81, 0.1, 0.95, 9.81, 0, 0
1.02, 0.874628, -1.20663, -1.20663, -9.81, 0.1, 0.95, 9.81, 0, 0
1.03, 0.862562, -1.30473, -1.30473, -9.81, 0.1, 0.95, 9.81, 0, 0
1.04, 0.849515, -1.40283, -1.40283, -9.81, 0.1, 0.95, 9.81, 0, 0
1.05, 0.835486, -1.50093, -1.50093, -9.81, 0.1, 0.95, 9.81, 0, 0
